delay,units,,,,,train mse,val mse
8,7,,,,,0.00738323642386622,0.00743888279868723
8,7,6,6,9,,0.00737246472608444,0.00773317845119465
18,7,1,6,8,7,0.00728621364687844,0.0076524800635547
7,10,4,6,5,,0.00729630429936753,0.00774406170956274
2,2,,,,,0.00735434845313011,0.00711672956403694
15,3,5,,,,0.00760573252869521,0.00726744333480994
4,8,10,6,,,0.0075561663436325,0.00719589340421824
1,3,,,,,0.00466645784477264,0.00468434963869099
6,1,10,10,6,,0.00744907701928123,0.00751456826926663
17,7,1,10,6,9,0.00745862698511928,0.00723662278813239
18,8,,,,,0.00737572745528583,0.00768771002358273
19,4,4,1,3,,0.00741395199808379,0.00724875917259479
16,3,5,5,5,,0.00740343622055547,0.0071082677993091
18,7,4,10,1,10,0.00726531307989796,0.00792694618831945
18,4,8,6,,,0.00733494622085861,0.00753966932482224
17,9,,,,,0.00737833056250416,0.00732157885477508
15,1,10,6,1,,0.00746183949813414,0.00705862153257755
18,2,2,4,3,,0.00733130775480126,0.00765588034497456
5,2,4,,,,0.00738848530183173,0.00736305262336436
19,7,5,,,,0.00760958599812281,0.0069493222536111
6,3,5,5,4,,0.00749851563961694,0.00739661344173339
5,6,3,7,2,8,0.00747957702921705,0.00779025109708477
3,9,8,,,,0.00753575090313786,0.00767903668520952
6,7,7,,,,0.00732568761256782,0.00749792632015517
17,2,,,,,0.00741536271067448,0.00752034305790461
14,8,,,,,0.00741568041832305,0.00717692507919964
6,6,4,5,,,0.00744992279248436,0.00760399153695651
20,3,,,,,0.00740936836001987,0.00743992158265358
3,3,9,,,,0.007419120417764,0.00746862667976592
3,9,10,,,,0.00745132341613003,0.00752044753751913
12,8,10,,,,0.0073503967263886,0.00735585275671135
11,2,,,,,0.0071256202094071,0.00722872822778884
16,1,,,,,0.00738545973579742,0.00743985431925079
9,3,2,2,2,8,0.00743172469061534,0.00716495355721327
10,4,2,5,3,8,0.00456149595862946,0.00426739960508969
13,3,8,4,4,1,0.00747154619501456,0.00714552043587832
20,3,4,10,1,9,0.00741577688745188,0.00786027627451969
7,7,10,2,,,0.00730567320585938,0.00772831081816398
11,1,2,8,1,3,0.00708295982822698,0.00745803458920341
12,2,,,,,0.00735064935365267,0.00781146399235663
