sparsity,reservoir,ro,input_scale,ridge penalty,train mse,val mse
1,435,0.3,0.8,0.8,0.0083735199490431,0.00874793206088353
0.5,600,0.7,0.7,6.8,0.00589097951613995,0.00628701375588478
0.9,949,0.7,0.8,2.6,0.00542318465364867,0.00578768442713678
0.1,495,0.1,0.1,3.5,0.0393872225080968,0.0388784631344244
0.8,72,0.4,0.4,5.3,0.0164864156928119,0.0169250961643117
0.4,162,0.1,0.6,9.3,0.024426814881725,0.0248923852994874
0.9,333,0.9,0.7,7.9,0.00562354212980681,0.00592057038432619
0.7,112,0.7,0.4,7.7,0.00719646550840682,0.00761029844678247
1,50,0.8,0.5,8.7,0.00585999640741223,0.0062092335739857
0.4,716,0.5,0.7,8.7,0.0090569870756219,0.00951711435059999
0.6,802,0.9,1,6.7,0.00562819524973346,0.00592287043628662
0.2,400,0.8,1,4.5,0.00541623295817529,0.00575372177262526
0.8,619,0.3,0.6,8.9,0.018735923599831,0.0192008168174844
0.1,877,0.3,0.1,2.1,0.0225943758785682,0.0226517440924442
0.9,404,0.9,1,1.8,0.00531512696049202,0.00559629812580443
0.6,569,0.2,1,8.4,0.0189110151307907,0.0194220842852643
0.3,470,0.7,0.5,9.6,0.00679268341327624,0.00722071139708201
1,340,0.3,0.4,6,0.0208770636126998,0.0212954134887534
0.7,225,0.6,0.8,6.5,0.00640574581431549,0.00681510840438964
0.8,719,0.4,0.2,0.1,0.00720323712512756,0.00758048719122536
0.1,667,0.4,0.6,1.7,0.0100070093405261,0.0104907246754328
0.9,285,0.8,0.2,3.3,0.00653816555683498,0.0068983010152604
0.7,516,0.7,0.8,9.4,0.00592835112539317,0.00632172197480546
0.5,909,0.6,0.9,7.1,0.00624206207916332,0.00665153307610245
0.2,574,0.9,0.7,4.5,0.00569777066944399,0.00599846424198705
0.1,445,0.5,1,3.6,0.00730634701502549,0.00774743143910946
0.4,552,0.1,0.8,3.9,0.0230182709619952,0.0235655069219727
1,123,1,0.7,6,0.00641603858874689,0.00660307137142606
0.1,101,0.6,0.2,8.2,0.0103169072416519,0.0106724854344286
0.1,584,1,0.3,0.7,0.00701765825493253,0.00722893010310104
0.9,905,0.7,0.1,4.4,0.017357732815125,0.0173802395123567
0.8,33,0.9,1,5.8,0.00508561589920632,0.00531209043526571
0.1,652,0.5,0.7,5.3,0.00918784034577347,0.00968195682997172
0.8,276,0.4,0.5,4.8,0.0138456160279568,0.0143103288173317
0.9,426,0.3,0.9,1.2,0.00847327198368211,0.00885239727574343
0.5,860,0.1,0.7,0.5,0.0178692340352455,0.0183712956269632
0.8,469,0.3,0.4,7.1,0.0204324202698906,0.0208349846918889
0.6,458,0.8,0.1,8.5,0.011491138053199,0.0116306278527129
1,258,0.1,0.5,3,0.0252640297582118,0.0257858165432343
0.7,276,0.6,0.8,8,0.00672860048161836,0.00714553701424111
1,377,0.5,0.3,5.7,0.0156973628502648,0.0160743145283657
0.9,570,0.1,0.2,0.5,0.025124611071409,0.0256444618440534
0.7,540,0.3,0.5,8.5,0.0190727194747268,0.0195140004873404
0.8,250,0.6,0.5,7.6,0.00869100426154143,0.00912821675307703
0.2,185,0.2,1,9.1,0.0183649322091706,0.0188941703347556
0.8,88,0.2,0.8,9.6,0.0211255790225618,0.0216242519144587
0.2,795,0.3,0.7,4.7,0.0140963562210728,0.014602292574193
1,898,0.5,0.3,2.3,0.0120924391702557,0.0125428688302547
0.5,577,0.6,0.5,2.1,0.0061982494684015,0.00660614133047945
0.5,116,0.2,0.1,9.2,0.0555759225086828,0.0544241207806858
0.4,378,0.7,0.8,1.1,0.00534811050675854,0.00570418772240154
0.8,756,0.4,0.9,7.9,0.0112178545811442,0.0116707219828477
0.2,455,0.3,0.6,1.9,0.0123390989923253,0.0128230114793391
0.2,420,0.4,0.1,5.5,0.0305736292365985,0.0302010974146862
0.7,894,0.2,0.2,8.3,0.0318054346537437,0.0316373616875019
0.1,416,0.8,1,5.5,0.00557401813861141,0.00592476973820503
0.7,919,0.4,0.2,5.7,0.0213005650895774,0.0214597938816305
0.6,231,1,0.9,5.6,0.0065971684001312,0.00678376558232779
0.8,524,1,0.3,7.7,0.0071062412199254,0.00731803457204403
0.8,759,0.2,0.4,3.3,0.0221423579682893,0.0226236148564802
0.4,229,0.2,0.2,1.4,0.0213543813772379,0.021795517623677
0.4,452,0.7,0.2,6.1,0.00818725825023272,0.00857354908489269
0.6,333,0.9,0.6,0.4,0.00538562285004843,0.00567072660469599
0.7,95,0.7,0.9,6.9,0.00556882528417132,0.00594133927002303
0.9,415,0.7,0.7,5.8,0.00586508179927194,0.00625170440619443
0.6,977,0.3,0.4,0.8,0.011780713540331,0.0122317147467338
0.7,860,0.5,0.8,1.9,0.00613169816044085,0.00650419316304189
0.9,678,0.6,0.2,1.7,0.0100827553583192,0.0105125517180537
0.9,830,0.8,0.5,5.2,0.00564660873680518,0.00599750961497575
0.1,200,0.2,0.6,1.8,0.0176910389361343,0.0182321329771972
0.7,503,0.6,0.6,7.5,0.00765379982747826,0.0080883405446752
0.3,997,0.2,1,4.9,0.0165482109832082,0.0170582905628484
1,118,0.4,0.6,0.1,0.00608183974550925,0.00639450385636017
0.7,95,0.4,1,2.7,0.00720746625976485,0.00758468516368753
0.2,59,0.7,0.5,0.1,0.00529503024077328,0.00564181419193795
0.2,237,0.9,0.2,6.8,0.00597676638015812,0.00629297569022963
0.4,976,0.8,0.1,0.3,0.00580683878577852,0.00617096799862844
0.8,126,1,0.8,1.3,0.00581708362383865,0.0059849438881294
0.2,246,0.5,0.1,7,0.0272837540504443,0.0269687151611037
0.3,122,0.6,0.3,3.4,0.00827712934160311,0.00873494582647724
0.4,244,0.4,0.7,4.3,0.00989979239531578,0.0103544584580193
0.6,474,0.5,0.6,8.5,0.0101399615124922,0.0105957477295786
0.6,248,0.9,0.2,7.1,0.00597230040078816,0.00628401290795728
0.3,681,0.4,0.5,2.7,0.0106034150139026,0.0110773032888306
0.8,874,0.2,0.9,1.4,0.013068479525579,0.0135125605072407
0.9,205,0.2,0.2,2.6,0.0252957278588184,0.0255874766413382
0.3,168,0.1,0.5,8.4,0.0243434076421157,0.0247778537575664
0.2,213,0.3,0.2,1.7,0.0169053926854314,0.0173580501279302
0.1,178,0.8,0.4,0.9,0.00562301589722496,0.00597982016251606
0.9,87,0.9,0.5,1.3,0.00516036021331781,0.00543770715158942
